team_id,player_id,name,nationality,position,age,attack,midfield,defence,goalkeeping,value_millions,wage_thousands,potential,is_wonderkid
accrington,acc_kelly,Michael Kelly,English,GK,29,10,11,13,66,1,7,67,0
accrington,acc_wright,Ollie Wright,English,GK,23,10,10,12,62,1,5,68,0
accrington,acc_rogerson,James Rogerson,English,GK,18,10,10,11,54,1,3,70,0
accrington,acc_love,Donald Love,Scottish,RB,30,52,50,60,10,1,7,60,0
accrington,acc_rawson,Farrend Rawson,English,CB,29,34,44,65,10,1,8,65,0
accrington,acc_sass,Freddie Sass,English,CB,24,32,42,62,10,1,6,66,0
accrington,acc_matthews,Devon Matthews,English,CB,25,33,43,63,10,1,6,64,0
accrington,acc_obrien,Connor O'Brien,Irish,RB,21,50,48,56,10,1,5,68,0
accrington,acc_grant,Conor Grant,English,CM,30,52,62,48,10,1,7,62,0
accrington,acc_coyle,Liam Coyle,English,CDM,25,44,60,56,10,1,6,64,0
accrington,acc_sinclair,Isaac Sinclair,English,CM,24,50,62,46,10,1,6,68,0
accrington,acc_butterfield,Luke Butterfield,Scottish,CDM,22,42,60,54,10,1,5,68,0
accrington,acc_conneely,Seamus Conneely,Irish,CDM,37,40,58,52,10,1,5,58,0
accrington,acc_heath,Isaac Heath,English,LW,21,62,52,34,10,1,5,74,0
accrington,acc_whalley,Shaun Whalley,English,RW,38,56,46,32,10,1,5,56,0
accrington,acc_madden,Paddy Madden,Irish,ST,36,65,44,28,10,2,7,65,0
accrington,acc_mooney,Kelsey Mooney,English,ST,26,62,44,30,10,1,6,64,0
accrington,acc_brown,Charlie Brown,English,ST,26,60,44,30,10,1,6,62,0
accrington,acc_woods,Josh Woods,English,ST,25,62,46,28,10,1,6,65,0
barnet,bnt_evans,Owen Evans,Welsh,GK,28,10,11,13,68,1,8,70,0
barnet,bnt_slicker,Cieran Slicker,English,GK,22,10,10,12,65,1,6,72,0
barnet,bnt_collinge,Danny Collinge,English,CB,28,36,46,66,10,1,8,66,0
barnet,bnt_senior,Adam Senior,English,CB,26,34,44,64,10,1,7,65,0
barnet,bnt_crichlow,Romoney Crichlow,English,CB,24,36,46,64,10,1,7,70,0
barnet,bnt_tavares,Nikola Tavares,English,LB,25,50,52,60,10,1,7,68,0
barnet,bnt_kenlock,Myles Kenlock,English,LB,28,52,50,60,10,1,7,62,0
barnet,bnt_kizzi,Joe Kizzi,English,CB,29,34,44,63,10,1,7,63,0
barnet,bnt_smith_k,Kane Smith,English,RB,28,52,50,60,10,1,7,62,0
barnet,bnt_chinedu,Phillip Chinedu,Nigerian,CB,22,34,44,62,10,1,5,70,0
barnet,bnt_hartigan,Anthony Hartigan,Irish,CM,28,50,64,50,10,2,8,65,0
barnet,bnt_osadebe,Emmanuel Osadebe,Nigerian,CM,28,54,66,46,10,1,8,66,0
barnet,bnt_kanu,Idris Kanu,English,LM,25,58,62,40,10,1,7,68,0
barnet,bnt_browne,Rhys Browne,English,RM,30,58,60,40,10,1,7,62,0
barnet,bnt_shelton,Mark Shelton,English,CM,31,50,60,46,10,1,7,62,0
barnet,bnt_adeniran,Dennis Adeniran,English,CM,25,52,64,44,10,1,7,68,0
barnet,bnt_winterburn,Ben Winterburn,English,CDM,22,44,60,54,10,1,5,72,0
barnet,bnt_ofoborh,Nnamdi Ofoborh,English,CM,25,50,62,46,10,1,7,68,0
barnet,bnt_hawkins,Oliver Hawkins,English,ST,33,62,44,32,10,1,8,62,0
barnet,bnt_tshimanga,Kabongo Tshimanga,Congolese,ST,29,66,46,30,10,2,9,67,0
barnet,bnt_assombalonga,Britt Assombalonga,Congolese,ST,32,64,44,28,10,2,8,64,0
barnet,bnt_stutter,Ronnie Stutter,English,CF,21,60,46,30,10,1,5,74,0
barrow,bar_winterbottom,Ben Winterbottom,English,GK,27,10,11,13,67,1,7,69,0
barrow,bar_barrett,Killian Barrett,Irish,GK,23,10,10,12,63,1,5,68,0
barrow,bar_raglan,Charlie Raglan,English,CB,29,34,44,64,10,1,7,64,0
barrow,bar_shipley,Lewis Shipley,English,CB,22,32,42,62,10,1,5,70,0
barrow,bar_anderson,Joe Anderson,English,CB,21,32,42,62,10,1,5,70,0
barrow,bar_earing,Jack Earing,English,CM,26,50,62,46,10,1,7,66,0
barrow,bar_harper,Rekeem Harper,English,CM,25,52,64,44,10,1,7,70,0
barrow,bar_smith_s,Scott Smith,Scottish,CDM,27,44,60,54,10,1,6,65,0
barrow,bar_whitfield,Ben Whitfield,English,CM,28,52,62,44,10,1,7,64,0
barrow,bar_mccann,Charlie McCann,English,CDM,22,44,60,52,10,1,5,70,0
barrow,bar_barkhuizen,Tom Barkhuizen,English,RW,31,62,52,34,10,1,7,62,0
barrow,bar_gordon,Josh Gordon,English,ST,27,62,44,30,10,1,7,64,0
barrow,bar_walker,Tyler Walker,English,ST,27,63,46,28,10,1,7,65,0
barrow,bar_hemmings,Kane Hemmings,Scottish,ST,32,62,44,30,10,1,7,63,0
barrow,bar_rose,Danny Rose,English,ST,31,60,44,30,10,1,7,61,0
bristol_rovers,brr_southwood,Luke Southwood,English,GK,28,10,11,13,69,1,8,70,0
bristol_rovers,brr_young,Brad Young,English,GK,23,10,10,12,63,1,5,68,0
bristol_rovers,brr_senior,Joel Senior,English,RB,26,52,52,58,10,1,7,66,0
bristol_rovers,brr_sparkes,Jack Sparkes,English,LB,25,50,52,58,10,1,7,68,0
bristol_rovers,brr_moore,Taylor Moore,English,CB,28,36,46,65,10,1,8,65,0
bristol_rovers,brr_kilgour,Alfie Kilgour,English,CB,27,36,46,66,10,1,8,67,0
bristol_rovers,brr_mola,Clinton Mola,French,LB,24,52,52,58,10,1,6,70,0
bristol_rovers,brr_lockyer,Tom Lockyer,Welsh,CB,31,34,44,65,10,1,7,65,0
bristol_rovers,brr_southam_hales,Macauley Southam-Hales,English,RB,30,50,50,58,10,1,7,62,0
bristol_rovers,brr_harbottle,Riley Harbottle,English,CB,25,34,44,63,10,1,6,66,0
bristol_rovers,brr_mceachran,Josh McEachran,English,CM,33,50,62,44,10,1,7,62,0
bristol_rovers,brr_de_havilland,Ryan de Havilland,English,CM,24,50,62,44,10,1,6,70,0
bristol_rovers,brr_thomas,Luke Thomas,English,RW,27,64,54,36,10,1,7,66,0
bristol_rovers,brr_omochere,Promise Omochere,Irish,RW,25,62,54,34,10,2,8,68,0
bristol_rovers,brr_harrison,Ellis Harrison,Welsh,ST,32,62,44,28,10,1,7,62,0
bristol_rovers,brr_cavegn,Fabrizio Cavegn,Swiss,ST,23,64,46,28,10,2,8,72,0
bristol_rovers,brr_forde,Shaq Forde,English,CF,21,62,48,28,10,1,5,76,0
bristol_rovers,brr_quigley,Joe Quigley,English,ST,29,62,44,28,10,1,7,64,0
bromley,brm_smith,Grant Smith,English,GK,32,10,11,13,70,1,7,70,0
bromley,brm_addai,Dillon Addai,English,GK,25,10,10,12,65,1,6,68,0
bromley,brm_webster,Byron Webster,English,CB,35,34,44,63,10,1,6,63,0
bromley,brm_sowunmi,Omar Sowunmi,English,CB,29,36,46,65,10,1,8,65,0
bromley,brm_cameron,Kyle Cameron,Scottish,CB,27,36,46,66,10,2,8,67,0
bromley,brm_woods,Sam Woods,English,RB,24,52,52,58,10,1,7,70,0
bromley,brm_elerewe,Deji Elerewe,English,CB,22,34,44,62,10,1,5,70,0
bromley,brm_samuel,Lakyle Samuel,English,RB,22,54,52,56,10,1,5,74,0
bromley,brm_medley,Zech Medley,English,CB,24,34,44,63,10,1,6,68,0
bromley,brm_thompson,Ben Thompson,English,CM,30,52,66,48,10,2,9,66,0
bromley,brm_charles,Ashley Charles,English,CDM,30,46,62,52,10,2,8,65,0
bromley,brm_odutayo,Idris Odutayo,English,CM,24,52,64,44,10,2,8,72,0
bromley,brm_hondermarck,Will Hondermarck,English,CM,25,52,64,44,10,2,8,70,0
bromley,brm_krauhaus,Ben Krauhaus,English,CM,22,52,64,42,10,1,6,76,0
bromley,brm_pinnock,Mitch Pinnock,English,LW,29,66,54,34,10,2,8,68,0
bromley,brm_cheek,Michael Cheek,English,ST,31,70,46,28,10,3,10,70,0
bromley,brm_kabamba,Nicke Kabamba,Jamaican,ST,30,64,44,30,10,1,7,65,0
bromley,brm_ifill,Markus Ifill,English,RW,26,62,52,34,10,1,7,66,0
cambridge,cam_eastwood,Jake Eastwood,English,GK,27,10,11,13,68,1,8,70,0
cambridge,cam_hughes,Ben Hughes,Welsh,GK,24,10,10,12,64,1,6,68,0
cambridge,cam_morrison,Michael Morrison,English,CB,36,34,46,66,10,1,8,66,0
cambridge,cam_watts,Kelland Watts,English,CB,24,34,44,64,10,1,6,70,0
cambridge,cam_bradshaw,Zak Bradshaw,English,CB,26,34,44,64,10,1,7,67,0
cambridge,cam_purrington,Ben Purrington,English,LB,29,52,50,60,10,1,7,63,0
cambridge,cam_mcloughlin,Shane McLoughlin,Irish,RB,28,52,52,58,10,1,7,64,0
cambridge,cam_ball,Dominic Ball,English,CDM,29,44,62,54,10,1,8,65,0
cambridge,cam_mpanzu,Pelly Ruddock Mpanzu,Congolese,CM,31,50,64,48,10,1,8,64,0
cambridge,cam_brophy,James Brophy,Irish,CM,29,52,62,46,10,1,7,64,0
cambridge,cam_kaikai,Sullay Kaikai,Sierra Leonean,LW,30,66,54,34,10,1,8,66,0
cambridge,cam_mayor,Adam Mayor,English,LW,21,62,52,32,10,1,5,74,0
cambridge,cam_knight,Ben Knight,English,LW,23,64,54,32,10,1,6,76,0
cambridge,cam_lavery,Shayne Lavery,Northern Irish,ST,27,64,46,28,10,1,7,67,0
cambridge,cam_appere,Louis Appere,Scottish,ST,26,64,46,28,10,1,7,66,0
cambridge,cam_kachunga,Elias Kachunga,Congolese,ST,33,60,44,28,10,1,6,60,0
cambridge,cam_kouassi,Kylian Kouassi,French,ST,20,60,46,28,10,1,5,76,0
cheltenham,clt_day,Joe Day,Welsh,GK,33,10,11,13,66,1,7,66,0
cheltenham,clt_gk2,Owen Jones,Welsh,GK,22,10,10,11,60,1,4,65,0
cheltenham,clt_kinsella,Liam Kinsella,English,CDM,27,44,60,54,10,1,7,62,0
cheltenham,clt_cundy,Robbie Cundy,English,CB,26,34,44,62,10,1,6,64,0
cheltenham,clt_wilson,James Wilson,English,CB,30,36,46,64,10,1,7,64,0
cheltenham,clt_harmon,George Harmon,English,LB,22,50,50,56,10,1,5,68,0
cheltenham,clt_tomkinson,Jonathan Tomkinson,English,CB,26,34,44,62,10,1,6,65,0
cheltenham,clt_broom,Ryan Broom,Welsh,RM,28,60,54,38,10,1,7,64,0
cheltenham,clt_stevenson,Ben Stevenson,English,CM,28,50,62,46,10,1,7,64,0
cheltenham,clt_martin,Josh Martin,English,LW,22,60,52,34,10,1,5,70,0
cheltenham,clt_adelakun,Hakeeb Adelakun,English,RW,29,62,52,34,10,1,7,64,0
cheltenham,clt_angol,Lee Angol,English,ST,30,62,44,28,10,1,7,63,0
cheltenham,clt_bickerstaff,Jake Bickerstaff,English,ST,22,62,46,28,10,1,5,72,0
cheltenham,clt_sherring,Sam Sherring,English,CB,25,34,44,62,10,1,6,66,0
cheltenham,clt_deeming,Cole Deeming,English,CM,20,50,62,44,10,1,4,74,0
chesterfield,che_hemming,Zach Hemming,English,GK,25,10,11,13,70,2,8,72,0
chesterfield,che_boot,Ryan Boot,English,GK,27,10,10,12,66,1,7,68,0
chesterfield,che_dunkley,Chey Dunkley,English,CB,32,36,46,68,10,1,8,68,0
chesterfield,che_mcfadzean,Kyle McFadzean,English,CB,37,34,44,65,10,1,7,65,0
chesterfield,che_fleck,John Fleck,Scottish,CM,34,52,66,48,10,1,8,66,0
chesterfield,che_gordon,Lewis Gordon,English,LB,23,52,52,58,10,1,6,70,0
chesterfield,che_donacien,Janoi Donacien,English,RB,29,52,52,60,10,1,7,65,0
chesterfield,che_lewis,Adam Lewis,English,LB,24,52,52,58,10,1,6,68,0
chesterfield,che_stirk,Ryan Stirk,English,CDM,25,46,62,54,10,1,7,68,0
chesterfield,che_naylor,Tom Naylor,English,CDM,33,44,62,52,10,1,7,64,0
chesterfield,che_markanday,Dilan Markanday,English,RW,23,64,54,34,10,1,6,72,0
chesterfield,che_mandeville,Liam Mandeville,English,CAM,29,60,64,42,10,1,8,65,0
